"job_id","job_title_short","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","company_name"
205802,"Machine Learning Engineer","Senior ML Engineer - Gen AI","Spain","Full-time","225000.0","2023-12-09 10:20:04","Beam Suntory"
26817,"Senior Data Scientist","Senior Audio DSP (Codec) Research Scientist","Spain","Full-time","211475.0","2023-02-03 19:44:56","Samsung Research America"
1202421,"Software Engineer","Computer Vision Engineer","Spain","Full-time","205000.0","2023-12-15 19:39:25","Atos"
454718,"Machine Learning Engineer","AI and ML Engineer, Lead","Germany","Part-time and Full-time","198000.0","2023-12-22 16:18:19","Booz Allen Hamilton"
482261,"Software Engineer","Senior Autonomy Integration Engineer - Release","France","Full-time","196500.0","2023-08-17 19:24:15","Motional"
733838,"Software Engineer","Senior Software Engineer, Data Mining - Continuous Learning","France","Full-time","196500.0","2023-05-01 21:19:50","Motional"
959602,"Software Engineer","Senior Autonomy Engineer - Feature Integration","France","Full-time","196500.0","2023-11-21 12:01:20","Motional"
1511901,"Machine Learning Engineer","Machine Learning Engineer - Search and Recommendations","Germany","Full-time","189297.0","2023-11-16 20:17:57","SoundCloud"
386831,"Machine Learning Engineer","Senior AI Engineer","United Kingdom","Full-time","182325.0","2023-12-01 18:17:53","Rapid7"
1401033,"Data Analyst","Market Data Lead Analyst","United Kingdom","Full-time","180000.0","2023-11-10 08:32:22","Deutsche Bank"
